Cliente;Endereço;Período;Produto;"Nº Caçamba";"Data Retirar"
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;;06/12/2023
"teste 27/07";"Rua Nicolau Alayon, 477, Interlagos, São Paulo";Dia;Basculante;3051;15/08/2023
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;2082;19/07/2023
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;13;26/06/2023
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1009;23/06/2023
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Basculante;;23/06/2023
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;28;16/06/2023
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;501;11/05/2023
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;31;29/04/2023
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Noite;Basculante;;04/01/2023
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;2921;04/01/2023
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;;25/12/2022
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;;22/12/2022
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;105;28/10/2022
Amanda;"Rua dos Inocentes, 50, Socorro, São Paulo";Dia;Caixas;105;28/10/2022
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;;26/10/2022
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;;24/10/2022
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;151;05/10/2022
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;;26/08/2022
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Caixas;3;23/07/2022
"Fábio e Valentina Limpeza Ltda";"Praça Maria das Neves Feijó, 47, Jardim da Rainha, Itapevi";Dia;Basculante;;23/05/2022
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Caixas;;23/05/2022
"Luiz Construção";"Rua José Rubens, 322, teste, Caxingui, São Paulo";Dia;Bobkaet;;25/12/2021
Amanda;"Rua Alessandro Bandettini, 321, Quebrada, Itu";Dia;Basculante;;29/10/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Caixas;;28/10/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;;28/10/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;;28/10/2021
Amanda;"Rua Sete, 23, Parque Camboriú, São Bernardo do Campo";Dia;Caixas;;25/10/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;100;13/09/2021
"Louro José";"Rua Garcia Lorca, 323, teste, Jardim Trussardi, São Paulo";Dia;Bobkaet;;07/06/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Basculante;;17/05/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1475;12/05/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1475;12/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Noite;Caixas;3;11/05/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Noite;Caixas;1101;07/05/2021
"paraisopolis exemplo";"Beco Vila Rica, 100, paraisopoles teste, Paraisópolis, São Paulo";Dia;Basculante;;01/05/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;26/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Basculante;;21/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1467;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1465;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1466;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1464;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1463;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1462;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1461;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1460;20/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1103;19/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1101;19/04/2021
Amanda;"Rua Marcílio Dias, 50, Socorro, São Paulo";Dia;Caixas;1100;19/04/2021
